id;placed_date;status;code;invoice_id;customer_id
1;2019-10-23T02:55:01;PENDING;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-23T07:44:44;CANCELLED;Frozen Analyst card;redundant;2
3;2019-10-23T03:17:39;COMPLETED;Chips;navigating;3
4;2019-10-22T17:05:27;COMPLETED;Optimized;microchip;4
5;2019-10-22T17:56:58;PENDING;e-markets system;Organic;5
6;2019-10-23T01:15:03;COMPLETED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-22T13:15:47;COMPLETED;online e-business;systems integrate;7
8;2019-10-22T19:00:49;PENDING;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-22T19:44:08;COMPLETED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-22T10:43:32;CANCELLED;yellow;Books Generic;10
